Files,DNE,RFI,OPCR,Slope,alpha,Modified in v2
UF-H-14114-71-45-R_aligned.ply,1118.144635,0.038198768,1198.25,158.7682876,,
UF-H-14114-74-57-L_aligned.ply,572.8473694,0.035027699,894.5,21.36620195,,
UF-H-14114-75-40-L_aligned.ply,600.3414776,0.032105984,973.62,159.1681508,,
UF-H-14114-95-60-R_aligned.ply,624.0680962,0.033736336,946.62,21.46507323,,
UF-H-14114-97-24-R_aligned.ply,306.6804376,0.021181797,745.12,17.49109004,,
UF-H-14114-97-40-R_aligned.ply,576.1298649,0.031695751,965.12,20.41857984,,
UF-H-143696-107-56-R_aligned.ply,1046.811952,0.072376546,792.25,153.4975443,,
UF-H-143696-108-40-R_aligned.ply,987.9254842,0.069400002,767.62,152.2187623,,
UF-H-143696-108-54-L_aligned.ply,2195.292817,0.074685982,1021.5,152.7791814,,
UF-H-143696-109-57-L_aligned.ply,1817.796654,0.062485378,1000,25.4888692,,
UF-H-143696-11-20-R_aligned.ply,848.9700706,0.039692155,1120.12,158.2360044,,
UF-H-143696-111-35-R_aligned.ply,673.6556249,0.054055132,717.38,154.7597914,,
UF-H-143696-12-26-R_aligned.ply,886.508708,0.048134844,1034.38,23.72523652,,TRUE
UF-H-143696-129-35-R_aligned.ply,558.4245197,0.050897538,685.62,155.0172728,,
UF-H-143696-129-48-L_aligned.ply,520.9943295,0.053701083,629.38,24.92683604,,
UF-H-143696-131-33-L_aligned.ply,811.755016,0.066039574,751.12,27.40060815,,
UF-H-143696-132-41-R_aligned.ply,514.5663055,0.050684575,630.5,24.96405559,,
UF-H-143696-132-42-R_aligned.ply,539.0272024,0.049245219,711.88,24.05840065,,
UF-H-143696-136-39-L_aligned.ply,618.3528882,0.064991834,638.38,152.5492042,,
UF-H-143696-39-61-R_aligned.ply,1354.824144,0.054062768,1104.88,156.5600561,,
UF-H-143696-41-38-R_aligned.ply,948.3515467,0.043530088,1086,157.0666799,,
UF-H-143696-41-58-L_aligned.ply,706.3500143,0.035735212,848.5,158.9176566,,
UF-H-143696-43-46-L_aligned.ply,764.0983926,0.040560115,929.62,22.37408327,,
UF-H-143696-46-28-R_aligned.ply,880.6009378,0.040404759,1026.62,157.9432308,,
UF-H-143696-47-27-L_aligned.ply,1272.456813,0.039994544,1229.38,21.55439372,,
UF-H-143696-64-33-R_aligned.ply,1970.009508,0.065057582,1149.88,25.12778516,,
UF-H-143696-64-60-L_aligned.ply,449.9452592,0.040240797,629.75,157.3431195,,
UF-H-143696-65-51-L_aligned.ply,689.7650597,0.048002241,819.62,24.78270517,,
UF-H-143696-68-34-L_aligned.ply,776.8684054,0.042439911,983.88,22.93000445,,
UF-H-143696-83-31-R_aligned.ply,1010.76702,0.043932079,942.88,22.18508846,,
UF-H-143696-90-23-L_aligned.ply,3845.124937,0.07626719,1615.75,26.64697295,,
UF-H-143696-90-62-L_aligned.ply,723.4018899,0.045683222,767.62,156.5734277,,
UF-H-143696-95-42-L_aligned.ply,3337.319122,0.08426093,1328.88,28.96617589,,
UF-H-150407-10-75-R_aligned.ply,203.2257378,0.022504593,461.12,16.3636111,,
UF-H-150407-102-99-R_aligned.ply,136.4962633,0.01688697,408.12,15.17050619,,
UF-H-150407-12-79-L_aligned.ply,141.0269262,0.002107062,355.38,14.71189499,,
UF-H-150407-131-30-R_aligned.ply,49.5316934,0.005741013,300.75,11.40092161,0.3,
UF-H-150407-131-35-L_aligned.ply,44.3352266,0.008368096,260.38,168.4458206,0.25,
UF-H-150407-132-111-L_aligned.ply,196.6454074,0.02202675,426.75,163.0272288,,
UF-H-150407-132-63-R_aligned.ply,108.293401,0.0154983,329.75,164.8845003,0.22,
UF-H-150407-134-99-R_aligned.ply,142.4688774,0.01744034,412.75,164.8710249,0.21,
UF-H-150407-135-69-L_aligned.ply,136.3656245,0.01548179,326.75,163.5568494,0.29,
UF-H-150407-14-62-L_aligned.ply,136.1125088,0.01238792,395.12,14.63087626,0.25,
UF-H-150407-161-29-L_aligned.ply,52.83264941,0.007304807,212.75,13.62652126,0.38,
UF-H-150407-163-34-R_aligned.ply,60.43634534,0.01211122,287.5,166.5622176,0.24,
UF-H-150407-166-57-R_aligned.ply,125.163221,0.01920067,332.88,16.11555536,0.25,
UF-H-150407-166-95-L_aligned.ply,126.6514988,0.01747971,339.25,164.0984801,0.21,
UF-H-150407-168-58-L_aligned.ply,137.9247464,0.0210113,297.12,17.43501651,0.22,
UF-H-150407-168-83-R_aligned.ply,195.7512942,0.02627068,409,17.8095461,,
UF-H-150407-191-25-L_aligned.ply,89.10289993,0.01978325,261,163.4648136,0.25,
UF-H-150407-193-24-R_aligned.ply,89.77384828,0.01633998,258.38,16.88817898,0.37,
UF-H-150407-196-78-L_aligned.ply,178.9323977,0.02319948,392.88,18.03363166,,
UF-H-150407-197-61-L_aligned.ply,150.3321879,0.02911178,310.5,160.880268,,
UF-H-150407-199-77-R_aligned.ply,202.9620283,0.02346954,402.5,18.66630429,,
UF-H-150407-20-55-R_aligned.ply,132.3901647,0.01258569,388.25,165.8591226,0.29,
UF-H-150407-202-57-R_aligned.ply,155.7509006,0.02655568,309,161.3650472,0.23,
UF-H-150407-25-36-R_aligned.ply,94.56713448,0.01001921,369.38,13.48522211,0.23,
UF-H-150407-26-19-L_aligned.ply,94.21796813,0.01187351,342.25,14.2544031,0.31,
UF-H-150407-49-86-L_aligned.ply,124.2317331,0.00923274,375.75,14.06877995,,
UF-H-150407-56-92-R_aligned.ply,132.1519068,0.01335487,408,165.2926161,0.22,
UF-H-150407-58-60-L_aligned.ply,112.5859212,0.01711532,333.62,15.13385771,0.21,
UF-H-150407-59-36-L_aligned.ply,64.07746081,0.009876227,282.88,13.04097829,0.41,
UF-H-150407-62-33-R_aligned.ply,55.59987344,0.009199746,287.5,167.5094228,0.25,
UF-H-150407-63-73-R_aligned.ply,133.7163684,0.01715378,366.62,164.2007165,0.24,
UF-H-150407-94-82-L_aligned.ply,143.0589038,0.0120464,378.5,164.2955759,0.26,
UF-H-150407-97-103-L_aligned.ply,161.805131,0.02006805,389.5,16.36191386,0.24,
UF-H-150407-98-29-R_aligned.ply,45.0388156,0.006637686,274.12,11.19677647,0.31,
UF-H-150407-98-43-L_aligned.ply,54.83284605,0.009197667,249.75,12.83329234,0.31,
UF-H-150407-99-82-R_aligned.ply,125.3517587,0.0138081,362,164.5925397,0.37,
UF-H-19011-100-47-L_aligned.ply,392.0591263,0.026254288,668.38,18.34024635,,
UF-H-19011-108-72-L_aligned.ply,381.9430495,0.021170814,695.25,162.4074895,,
UF-H-19011-121-24-R_aligned.ply,639.7559065,0.028460871,809.12,161.8842914,,
UF-H-19011-124-64-R_aligned.ply,674.0934792,0.039351493,773.75,22.98629884,,
UF-H-19011-124-70-L_aligned.ply,410.5489787,0.024110229,720.5,161.8849698,,
UF-H-19011-125-59-R_aligned.ply,691.7246158,0.04323547,791.5,23.25618572,,
UF-H-19011-127-26-L_aligned.ply,936.1635027,0.032708381,794.12,18.77318109,,
UF-H-19011-128-48-L_aligned.ply,620.0361274,0.031058029,799.88,160.1025236,,
UF-H-19011-14-50-R_aligned.ply,459.1572567,0.02351878,844,17.65779441,,
UF-H-19011-142-42-R_aligned.ply,678.8982365,0.04286119,785.5,22.70307359,,
UF-H-19011-147-19-R_aligned.ply,879.2867327,0.042366351,772.25,21.07532477,,
UF-H-19011-15-27-R_aligned.ply,409.5612748,0.018922686,833.88,163.5565662,,
UF-H-19011-150-28-L_aligned.ply,2102.446054,0.058088302,1010.5,157.5930303,,
UF-H-19011-150-54-R_aligned.ply,744.6107516,0.04941313,801.5,24.27467469,,
UF-H-19011-159-60-L_aligned.ply,1306.912487,0.044128452,963,157.7251151,,
UF-H-19011-38-68-L_aligned.ply,305.3437829,0.013711926,791.25,15.43566553,,
UF-H-19011-41-25-R_aligned.ply,278.0327253,0.015194463,663.5,14.87033154,,
UF-H-19011-44-47-R_aligned.ply,323.7574965,0.015425449,792.25,164.5011506,,
UF-H-19011-44-57-L_aligned.ply,318.1205597,0.016169532,770.5,15.91790742,,
UF-H-19011-45-27-R_aligned.ply,462.7908185,0.033618813,652.88,160.7967758,,TRUE
UF-H-19011-47-33-L_aligned.ply,218.1029306,0.010388068,746.12,166.717183,,
UF-H-19011-66-56-L_aligned.ply,301.7536217,0.016559237,697.62,164.3888947,,
UF-H-19011-67-47-R_aligned.ply,277.7797813,0.015028598,707.62,165.58926,,
UF-H-19011-71-74-R_aligned.ply,324.838375,0.015440984,816.62,164.8722571,,
UF-H-19011-72-19-R_aligned.ply,1331.656735,0.033368639,908.5,17.906365,,
UF-H-19011-72-28-L_aligned.ply,270.0949946,0.017782496,616,164.2417194,,
UF-H-19011-82-68-L_aligned.ply,296.1382417,0.015662089,686.62,15.80034189,,
UF-H-19011-9-38-R_aligned.ply,514.3505909,0.024436365,921.5,161.7747638,,
UF-H-19011-94-42-R_aligned.ply,401.59301,0.017308005,811.88,16.14652057,,
UF-H-19011-94-65-R_aligned.ply,460.1022978,0.027656199,783.62,160.9762579,,
UF-H-19011-95-25-R_aligned.ply,322.5606377,0.017350446,747.5,14.78723873,,
UF-H-19011-99-25-L_aligned.ply,356.2985046,0.02308446,633.75,17.19971188,,
UF-H-37228-106-25-L_aligned.ply,929.3350713,0.0265959,1364.25,161.8201305,,
UF-H-37228-106-38-R_aligned.ply,869.1571455,0.036064675,1153.62,158.0076826,,
UF-H-37228-106-44-L_aligned.ply,1072.95841,0.041446302,1265.25,157.0240048,,
UF-H-37228-107-23-R_aligned.ply,647.478362,0.02197987,1231.62,162.2409259,,
UF-H-37228-108-36-L_aligned.ply,862.5639729,0.034365654,1238.88,159.2254849,,
UF-H-37228-111-48-R_aligned.ply,1131.410909,0.047048241,1251,24.40644091,,
UF-H-37228-124-41-L_aligned.ply,1385.34476,0.047285253,1486.5,156.295323,,
UF-H-37228-128-29-L_aligned.ply,1800.057149,0.041164655,1476.25,158.1599279,,
UF-H-37228-129-32-L_aligned.ply,1574.073496,0.042930107,1501.62,157.4598073,,
UF-H-37228-13-29-R_aligned.ply,1107.273274,0.03838979,1280.62,22.08474648,,
UF-H-37228-130-29-R_aligned.ply,1073.314822,0.039867323,1266,157.9025502,,
UF-H-37228-130-40-R_aligned.ply,1164.798262,0.046594975,1266.38,156.2384341,,
UF-H-37228-134-38-R_aligned.ply,1320.099903,0.053878536,1289.88,24.88445401,,
